original_text,finbert_sentiment,roberta_sentiment,vader_sentiment,financialbert_sentiment,true_label
Exchange on Binance with 50% discount trading fee 💸  Register for BONUS ➡️ https://t.co/U8FIwN3Bk8  $AAC $MNX… https://t.co/MaVArkSq3F,neutral,neutral,positive,neutral,neutral
#RealEstate #2018shift #FED $HCP $OHI $VTR $WPC #REIT $REIT $DJR $SPX $RUT $GLD $SLV $VIX $SPY $OIL $USDX $DXY… https://t.co/oy7HTibEf0,neutral,neutral,neutral,neutral,neutral
The live-ranking of #TRONSR https://t.co/prBih0D99W. Come vote for #MDT! $MDT https://t.co/yY0KePdl53 https://t.co/JrEKmLN71F,neutral,neutral,neutral,neutral,neutral
Investors Sell Shares of Visa $V on Strength $V https://t.co/kxW4qJNYMj,neutral,neutral,positive,neutral,neutral
RT @MarketCurrents: Arthur J. Gallagher acquires The Jack Nebel Companies https://t.co/AwIQithwBR $AJG,neutral,neutral,neutral,neutral,positive
Prudential Financial Inc $PRU Institutional Investor Sentiment Trend - https://t.co/nMlfCwmVdx,neutral,neutral,neutral,neutral,neutral
RT @tradethefifth: Watch the Latest #Stocks #Signals Video for 3 #HotStocks $HD $TTWO $YNDX using our #Elliottwave Indicator Suite &gt;&gt;&gt;HERE&gt;…,neutral,neutral,neutral,neutral,neutral
11Day Made 1687% Profit  Join : https://t.co/azARNloQdz $SAFEX $MAID $BLK $GCR $LUN $FLO $DMD $LMC $RLC $CLOAK $MEME $DOPE $APX $BURST,neutral,positive,positive,neutral,neutral
Mastercard has a new patent that could allow bitcoin transactions on credit cards. $MA  https://t.co/ZqLn66vE6k,neutral,neutral,positive,positive,positive
Helmerich &amp; Payne Inc. $HP Given Consensus Recommendation of “Hold” by Brokerages https://t.co/R4ags7QEZq,neutral,neutral,neutral,positive,neutral
Coin listings pumps 20-100%. Our bot detects it before official announcements! 🤔  Join Us: ➡️… https://t.co/LGjduP8oxS,neutral,neutral,positive,neutral,neutral
Update: These were just some out of many small to mid caps project.. Some of the large cap potential winners are… https://t.co/uT2E7E0KNF,positive,positive,positive,neutral,positive
"Today Wedbush Reaffirms a ""Neutral"" Rating on Tractor Supply $TSCO and a $77 Target Price - https://t.co/cBxuyb1fcp",neutral,neutral,neutral,positive,neutral
RT @TheStreet: Over the past 3 months $GOOGL has risen almost 18% #RealMoneySOD  https://t.co/IUWpXM3Ui7,neutral,neutral,neutral,positive,positive
Just waiting out next week for my $ARRY 19 and $CLVS 50 #coveredcalls to expire worthless.  I will probably sell mo… https://t.co/GMKRFEXpy1,negative,negative,negative,neutral,negative
Pratt &amp; Whitney catching up on engine delays https://t.co/fTi7pYLBV0 #premarket $EADSY $UTX $EADSF,neutral,neutral,neutral,negative,negative
RT @TraderInPlay: List of Active China #Tariffs &amp; #Stocks Impacted $BA $GE $CAT $DE $UTX $MMM $NXPI $QCOM $AAPL $F $GM $MU $AA $DWDP $KSS $…,neutral,neutral,positive,neutral,neutral
Join  Robinhood App and we'll both get a stock of Apple or Facebook or Ford or $AAPL $F or $S for FREE! Make su… https://t.co/eAvlKYQUfd,neutral,neutral,positive,neutral,neutral
RT @financialbuzz: Watch Us Report LIVE from the Floor of the NYSE! This weeks weekly wrap-up includes $NVDA $JD $VRX $ROKU $BKNG $SYMC $TT…,neutral,neutral,neutral,neutral,neutral
2018-07-13 Short sale volume (not short interest) for $XLY is 76%. https://t.co/3NmscvtCY4 $CVS 51% $F 46% $EWG 60% $UNP 35%,neutral,neutral,positive,neutral,neutral
As Motorola Solutions INC $Put $MSI Stock Price Rose Arbiter Partners Capital Management LLC Raised by $33.50 Mill… https://t.co/4d248rgpw7,neutral,neutral,positive,positive,positive
"Key Research Analysts at Citigroup Reconfirmed their ‘""Neutral""’ rating for WEC Energy Group $WEC Shares Today. The… https://t.co/dQynsmagJX",neutral,neutral,positive,positive,neutral
Litecoin $LTC is valued at: $88.45 We verified that Binance is accepting new users! 🙌 🤔  ➡️… https://t.co/AeXplz6wE5,positive,positive,positive,neutral,positive
SYMC Option Alert: Aug 17 $22 Calls Sweep (28) at the Ask: 1105 @ $0.985 vs 6237 OI; Earnings 8/1 After Close [est] Ref=$21.565 $SYMC,neutral,neutral,positive,neutral,neutral
Sir Capital Management LP Boosted Position in Devon Energy Corp New $DVN as Market Value Rose - https://t.co/n83NI7ti8h,positive,positive,positive,positive,positive
Estee Lauder Companies Inc $EL Stock Price  While Sentiment  Worsens - https://t.co/clgeuOhhl8,negative,negative,negative,negative,negative
Had $BABA 197.5 calls @ .50 but it was not good as today was a sloppy day for TECH overall $NVDA $AMZN $NFLX $GOOGL,neutral,positive,positive,neutral,neutral
Get access to 15+ premium paid groups for a fraction of the price! 🤔  Join Us ➡️ https://t.co/o2Tun18cdZ  $PLBT… https://t.co/NHIgbz7NfB,neutral,neutral,positive,neutral,neutral
A bullish Big MAC (Bullish) has occurred at 10:15 AM Jul 17 at  $6.25 on Glu Mobile Inc (GLUU) $GLUU Want to Earn(R… https://t.co/UqNokGf6rs,neutral,positive,positive,positive,positive
As Incyte Corporation $INCY Valuation Declined Shareholder Tekla Capital Management LLC Lowered Its Holding by $3.… https://t.co/B56e92JBxi,neutral,negative,negative,negative,negative
Q2 2018 EPS Estimates for American Tower Corp $AMT Reduced by KeyCorp https://t.co/G4bmRxufdp,neutral,neutral,neutral,negative,negative
Murphy Oil $MUR Receives New Coverage from Analysts at Morgan Stanley https://t.co/2NNsCb4T5Z,neutral,neutral,neutral,neutral,neutral
Archer-Daniels-Midland Company $ADM Analysts See $0.76 EPS - https://t.co/be9OFL7Eyu,neutral,neutral,neutral,neutral,neutral
RT @Citadel_Team: #Citadel has been officially added to #Blockfolio and #DeltaApp making it simple and easy for users to keep track of rea…,neutral,positive,positive,neutral,neutral
UTX(+1.3%)moving well again this morn extends 7/13 breakout; https://t.co/PjdNfWCCXK to a 4% gain pre earnings m… https://t.co/d39UUDyq0q,positive,positive,positive,positive,positive
Just made $14K on my option trade. Done with my day! $CTSH $VOD $ADBE $HLT $MS $AVGO $TXN $ENTA $TSEP $BIDU $UPS… https://t.co/YRGcXq7lXa,neutral,neutral,neutral,neutral,neutral
Netflix just lost the equivalent of a CBS in terms of market cap in 5 minutes. If you think 340 to 350 is the botto… https://t.co/SmhoFkbazH,neutral,negative,negative,negative,negative
Zacks: Analysts Anticipate Avery Dennison Corp $AVY Will Post Earnings of $1.56 Per Share https://t.co/fIU5hurrxq,positive,neutral,positive,neutral,positive
$BMY holding up pretty good at this levels - would be a seller if we break through these levels,positive,positive,positive,neutral,positive
Kimco Realty Corporation $KIM EPS Estimated At $0.36 - https://t.co/l2EsEizxAD,neutral,neutral,neutral,neutral,neutral
Ross Stores $ROST Holder Wedgewood Partners Lifted Holding by $3.79 Million; Fulton Bank Has Lowered Holding in Exx… https://t.co/zin9HxZ7ly,neutral,neutral,negative,neutral,neutral
Is Assurant $AIZ a Sell? What does Morgan Stanley Think? https://t.co/JBRgLJsuHc,neutral,neutral,neutral,neutral,neutral
Insider alert: Chairman of the Board THOMPSON JAMES K of $JBHT bought 4600 shares @ $560418.00,neutral,neutral,positive,neutral,neutral
@marketminute Yes $ALB I hit the wrong key. 98.10 would be the start of a potential breakout? Thank you,neutral,neutral,positive,neutral,neutral
Equities Analysts Set Expectations for Nasdaq Inc’s Q2 2018 Earnings $NDAQ https://t.co/DAs1do1LP5,neutral,neutral,neutral,neutral,neutral
L3 Technologies $LLL vs. QUALCOMM $QCOM Head to Head Contrast https://t.co/JyZDcueRXV,neutral,neutral,neutral,neutral,neutral
Invest your crypto on Binance and get 50% discount trading fee 🤑  Register for BONUS ➡️ https://t.co/sAIS0nxjBb… https://t.co/Ly28g8UjX6,neutral,positive,positive,neutral,neutral
https://t.co/pe1CC1FhUg $GPS Gap up 1.6% = $193.8 million gain. $GPS has made notable gains in 14 of the last 40 tr… https://t.co/qhVNaO8bcl,positive,positive,positive,positive,positive
RT @BretKenwell: $ADBE wants moar https://t.co/1MQpjVtqJq,neutral,neutral,neutral,neutral,neutral
VOLUME RADAR ALERT: $CI CIGNA 📈 TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room,neutral,neutral,positive,neutral,neutral
RT @myQuikfo: 07-18: the top scored Financials company is BANCORPSOUTH INC $BXS scored at 84.58 Key words: BUY SELL BREAK UPGRADED OVER…,neutral,neutral,positive,positive,positive
Recent $CNP technical alerts: Slingshot Bullish plus 4 more alerts... https://t.co/cpwbByE4nD,neutral,neutral,neutral,neutral,neutral
RT @ProxyInsight: ISS and Glass Lewis back Disney's bid to acquire 21st Century Fox #CorpGov #ProxyVoting $DIS $FOXA https://t.co/QEoQwIJaQ1,neutral,neutral,neutral,neutral,neutral
Zacks: Brokerages Anticipate Franklin Resources Inc. $BEN Will Post Earnings of $0.76 Per Share https://t.co/y88pPlzWAQ,positive,neutral,positive,neutral,positive
RT @IBMNews: $IBM reports solid quarterly result as margins climb higher https://t.co/0Ly6SyJWl8 via @financialtimes,positive,positive,positive,positive,positive
Seaport Global Securities Lowers Cimarex Energy Q3 2018 Earnings Estimates to $1.25 EPS (Previously $1.31).… https://t.co/kGJMkbxYFu,neutral,neutral,positive,neutral,neutral
RT @FOCVS_Trading: Jul17 #trading CostBas In/Out all trades have multi entry/exit 5th Trade 11:04-11:12am $VXX 31P 7/20 In0.85/Out0.94 6th…,neutral,neutral,neutral,neutral,neutral
$0.13 EPS Expected for Chesapeake Energy Corporation $CHK - https://t.co/ALxjUCZPI0,neutral,neutral,positive,neutral,positive
Could be dreaming Aus Tech sector turning? Behavioural Health &amp; A.I data platform (GDPR) $OPN +66% in last week… https://t.co/mSfw2PPVQr,neutral,neutral,neutral,neutral,neutral
EPS after the bell today $AA $CCK $CCI $URI $AXP $KMI $IBM $EBAY,neutral,neutral,neutral,neutral,neutral
HP Unveils World’s Most Powerful Entry Workstations $HPQ https://t.co/YHP9vZ2NtO,neutral,positive,positive,neutral,neutral
$AMGN Joshua Ofman says .@SGottliebFDA's reference to the rebate gaming was the $JNJ Remicade vs. $PFE Inflectra… https://t.co/GH1S3KdS9S,neutral,neutral,neutral,neutral,neutral
RT @eWhispers: #earnings before the open tomorrow  $DPZ $NUE $BX $PM $TSM $UNP $DHR $ABB $BBT $KEY $SAP $FITB $PPG $BK $SNA $ADS $TRV $SYNT…,neutral,neutral,neutral,neutral,neutral
Varian Medical Systems Inc $VAR Shorts Decreased by 18.2% After Short Covering - https://t.co/frCdaXW0LO,neutral,neutral,neutral,neutral,neutral
Ecolab Inc $ECL Institutional Investors Quarterly Sentiment - https://t.co/0Yic5ln6nS,neutral,neutral,neutral,neutral,neutral
L3 Technologies Inc. $LLL EPS Estimated At $2.35 - https://t.co/BwgpBr9A1Z,neutral,neutral,neutral,neutral,neutral
$DXC New Insider Filing On:  Manna Neil A Transaction Code: M https://t.co/JaRPqqOfl9 https://t.co/tq9jbDmNk7,neutral,neutral,neutral,neutral,neutral
RT @maginarydragons: Other long setups of note $XBI $BURL $EHC $SPG  Needless to say there is no shortage of setups for next week. #bullish…,neutral,neutral,negative,positive,positive
Apache Corp $APA Quarterly Sentiment Report - https://t.co/HtycbhqHUy,neutral,neutral,neutral,neutral,neutral
Boston Family Office LLC Trimmed Stake in Ansys INC  $ANSS as Stock Price Rose - https://t.co/jwJvHmI5mq,neutral,neutral,neutral,positive,positive
$nvax should be a winner in the fall... Novavax's NanoFlu vaccine improved immune responses in older adults in Phas… https://t.co/bUbJuveoj3,positive,positive,positive,positive,positive
Up $3K today. Not bad because it was crazy day. thanks to the trades from https://t.co/sv3T6BF5Pc  #winning $TGT… https://t.co/vPbTXKg7FO,positive,negative,positive,neutral,positive
本日の抽選受付はあと１時間で終了です。まだの方は忘れずにリツイートしてくださいね！ #仮想通貨 #VIPS #VIPSTARCOIN $VIPS,neutral,neutral,neutral,neutral,neutral
$ADBE Todays trading with Adobe Systems Inc for $259.9432 on date 2018-07-18. #Finance,neutral,neutral,neutral,neutral,neutral
$EFX open interest for maturity 07/20/2018. High put=110.00 High call=130.00 #maxpain #options… https://t.co/3l5obWhBTB,neutral,neutral,positive,neutral,neutral
实战早盘直播 7/17（点位时机为王） https://t.co/MBNIsu0bGK $SPY $NFLX $DHI $XLK https://t.co/S1B1QHI0I4,neutral,neutral,neutral,neutral,neutral
Get access to 15+ premium paid groups for a fraction of the price! 🙌  Join Us: ➡️ https://t.co/9V3WyLKyNu  $BNT… https://t.co/zUMQ9M7S00,neutral,neutral,positive,neutral,neutral
Evening Read!  Check out our TOP FIVE Foundation #Dividend #Stocks for your Portfolio - $T $MCD $PG $JNJ $ED… https://t.co/MNMgikUZwK,neutral,neutral,positive,neutral,neutral
RT @Benzinga: Potential Winners And Losers In The Optical Space From The Tariff Dispute https://t.co/gZHuJf9Qra $AAOI $FNSR $NPTN $OCLR $FN…,neutral,neutral,negative,negative,negative
Do you know that #WallStreet price for $OMC is $81.81 https://t.co/32pSs7Cc7A,neutral,neutral,neutral,neutral,neutral
Cigna Corporation (CI) have in prospect to touch 11.99% EPS growth for next year https://t.co/FXIdkBvWgu $CI #stocks #stockmarket,neutral,neutral,positive,neutral,positive
RT @followtheh: $MA Mastercard Wins Patent for Speeding Up Crypto Payments https://t.co/GlzeprBWmA  could be why crypto popped,neutral,positive,positive,positive,positive
RT @KAFinvesting: When you are swinging $JNJ and they announce FDA approval https://t.co/6xGKsg40Oa,neutral,neutral,positive,positive,positive
Get access to 15+ premium paid groups for a fraction of the price! 💎  Join Us ➡️ https://t.co/fXiyVjoTBs  $BHC… https://t.co/xdxR2kUMYF,neutral,neutral,positive,neutral,neutral
Discussion stirs around Intercontinental Exchange Inc. $ICE this week; here is what analysts are saying. https://t.co/dHbMIMVOI6,neutral,neutral,neutral,neutral,neutral
Cintas $CTAS Underweight Rating Maintained Today By Morgan Stanley; The Target Price Given is $158 - https://t.co/YqlJ0VyT0g,neutral,neutral,neutral,positive,neutral
SLM Corp $SLM Sees Significant Decline in Short Interest https://t.co/sW2esqFnyN,negative,neutral,positive,negative,negative
Q3 2018 EPS Estimates for Pioneer Natural Resources Reduced by Jefferies Financial Group $PXD https://t.co/oa5dQh33gC,neutral,neutral,positive,negative,negative
$CAH CardinalHealth - 4 (Statement of Changes in Beneficial Ownership) SEC Filing From our Stock News Alerts App,neutral,neutral,positive,neutral,neutral
Simon Property Group Inc $SPG's Stock Is Buy After Less Market Selling - https://t.co/E2mQsRsUpp,neutral,neutral,neutral,neutral,neutral
Array Biopharma $ARRY Downgraded by Zacks Investment Research to “Sell” https://t.co/oLZAGXAjl4,negative,negative,neutral,negative,negative
RT @eastcoastasia: Interesting to compare purchase frequency across China ecommerce $BABA $JD also size of PDD vs $VIPS https://t.co/wBZiy…,neutral,neutral,positive,neutral,positive
Sold $baba $intc $odp $ewz $fslr $kre with gain,neutral,neutral,positive,neutral,positive
RT @AndyBiotech: $NVS Kymriah Q2 sales $16M misses consensus of $20M. -&gt; $GILD  Entresto Q2 sales $239M beats consensus of $220M finally…,negative,neutral,positive,positive,negative
Traders Sell Metlife $MET on Strength After Analyst Downgrade https://t.co/qsdmJURTT0,negative,negative,positive,neutral,negative
@ntfri More Libya Oil Problems Libya Declares Force Majeure On Another Oil  Port  &amp; Yemen's Iran Backed  Yemen Hout… https://t.co/lH2YTGfdus,neutral,negative,negative,negative,negative
Coin listings pump 20-100%+. Our bot detects before official announcement 🤔  Join Us ➡️ https://t.co/TcQihqwiIR… https://t.co/uQewD6okxW,neutral,neutral,positive,neutral,neutral
Cigna Corporation $CI Stake Held by Edgestream Partners Lp - https://t.co/IUCuMX8rqB,neutral,neutral,neutral,neutral,neutral
Marathon Petroleum Corporation $MPC EPS Estimated At $1.76 - https://t.co/c5aABtna6S,neutral,neutral,neutral,neutral,positive
Aetna INC $AET Position Upped by Kepos Capital Lp - https://t.co/brWdBxdYR7,neutral,neutral,neutral,positive,positive
My current watchlist: $NXE (PPO on Daily crossing over) $REG (Drill results pending) $BTE (Consolidation completin… https://t.co/7aAik9HlDa,neutral,neutral,neutral,neutral,neutral
RT @BitScreener: New Coins added to https://t.co/KozqoWvPD9 $KBC $FTI $PCH $QURO $SEER $CONI $ESS $ONL $OTB $PAI $GOT $THRT #bitscreener h…,neutral,neutral,neutral,neutral,neutral
Howe &amp; Rusling INC Has Lifted Prudential Finl INC $PRU Stake by $3.84 Million; Share Price Declined https://t.co/gTDDoLtzSn,neutral,neutral,positive,positive,positive
The best stock picker you've probably never heard of says Citigroup will nearly double https://t.co/LMEE4pOGCu $F $GS $C,neutral,positive,positive,positive,positive
#NASDAQ Advancers Today! $MESO $VYGR $AQXP $AUTL $ASCMA $GSHD $SGMO $ALNA $NICK $LWAY $AXON $EMRK $SECO $CIFS $ACET… https://t.co/Ba7CfgBTnc,neutral,neutral,neutral,neutral,neutral
As Alexion Pharmaceuticals INC $ALXN Shares Declined Pura Vida Investments LLC Boosted Position - https://t.co/a7VZnoKdFE,positive,neutral,positive,positive,positive
Check out our presentation about $DLR  https://t.co/BQvlkjpEhM,neutral,neutral,neutral,neutral,neutral
$googl 🚀 💰 https://t.co/XWofGse5RI,neutral,neutral,neutral,neutral,neutral
How Many Zoetis Inc. $ZTS's Analysts Are Bearish? https://t.co/WyBvFMY4Dn,negative,neutral,neutral,negative,negative
Analyzing Gentex $GNTX &amp; Aptiv $APTV https://t.co/qt1cDK22lx,neutral,neutral,neutral,neutral,neutral
Ecolab INC Com $ECL Shareholder Williams Jones &amp; Associates LLC Boosted Its Stake by $11.66 Million as Stock Value… https://t.co/D0cKj6xYoo,neutral,neutral,positive,positive,positive
Let’s stay with turnarounds: $REGN was left for dead after falling 48% in nearly 12mos of trading. It broke out in… https://t.co/VGfm6tGD7F,negative,neutral,negative,neutral,negative
Henry Schein $HSIC Rating Lowered to Hold at BidaskClub https://t.co/UC0ZDFonW2,negative,neutral,negative,negative,negative
@AutismBarron @BoeingAirplanes @Boeing Always! $BA,neutral,neutral,neutral,neutral,neutral
$isr offering canceled? Rumors of buyout or partnership swirling after #fda approval today. $FCRE $GNPX $CYAD $KN… https://t.co/dTXepZNFgq,neutral,neutral,positive,neutral,neutral
RT @OneOClockDrop: Please just look at the tweet and reply’s $msft $amzn $fb $goog $jnj $jpm $googol $abc $wfc $wmt $cvx $hd $pg $unh $pfe…,neutral,neutral,positive,neutral,neutral
Stephens releases research reports on $CMA $CSX $FNF $FHN $FULT $GWR $GMS $HWC $LTXB $MRTN $NCS $NEOG $PACW $PNFP… https://t.co/yu9qfrBJob,neutral,neutral,neutral,neutral,neutral
We're entering into the meat of earnings season. With escalating trade tensions seeming to rise weekly and politica… https://t.co/TjbCFabxqr,negative,neutral,negative,neutral,negative
$PNTV.041 - USA's LARGEST Public Marijuana Grower-CEO VIDEO-Very nice $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY… https://t.co/yKgmm2ifE2,neutral,positive,positive,neutral,neutral
RT @BrandonVanZee: 07/17/18 - View today's #MarketOutlook from @Market_Scholars here: https://t.co/awHHhQe3Kj  Discussed: $SPY $SPX $QQQ $D…,neutral,neutral,neutral,neutral,neutral
